T_in,T_out,H_in,H_out,L,Solar,CO2,Wind,N,W,E,status
29.44095201970383,13.305910936538863,63.50660291076373,70.76360148422714,613.506036500647,166.01486854154598,713.2039082359822,1.1753436129563086,22,cloudy,293.1239407421221,Poor
24.394613419130387,12.49895572653653,57.28584597161163,78.01522203462852,753.3406087134673,266.22655397476177,862.1651645533817,1.8732649501176304,16,rainy,220.13369856483095,Acceptable
28.709624612408103,28.938255228580843,67.98630557646383,69.20765407721757,468.3628117245196,331.2745985737422,1100.5427633928532,3.7873837613591017,12,rainy,83.92837300601967,Poor
21.77724022166524,24.46464107814807,37.912141775339855,24.496132038486508,536.1392738497805,579.8827607652975,879.5176927168657,0.0,9,sunny,84.92079215082765,Good
20.6573172751434,20.145926594470495,41.329854132091086,41.70310995649096,476.2070844151022,300.1010263201878,1361.4422409534552,3.714451427936486,3,sunny,73.3177513439373,Acceptable
21.90065069823888,27.490689297087812,50.235720226656454,67.35451317715321,558.949734779959,189.1480728337156,819.1317022261368,5.627907959382342,3,rainy,89.84647357822047,Acceptable
26.975337552938026,18.89924706251361,72.42018725699293,74.69853756169367,74.36047780897309,793.8915063067542,1104.5985755869026,0.0,20,sunny,125.15258414004508,Good
28.94314011604746,15.761795916110016,62.34609947179685,71.54642433849492,569.7120523917633,262.74727515296894,593.3055176307123,1.626319313372253,29,rainy,257.2442781878046,Poor
18.123662286850944,14.310627670140647,56.91865082223903,64.40367391000433,554.6332619952233,328.1346966130636,876.9335327695757,4.3640772829415555,23,rainy,106.9958012499015,Poor
26.034756085086908,4.306619947338556,58.18902801777906,73.72839881342861,425.0387734458177,496.2660373864908,,3.274052608991639,19,cloudy,468.6037431717341,Poor
24.025465014979,28.914055922034606,45.82187163140784,46.12186549002576,158.87664224524852,838.3671840110395,568.0769202238005,2.623491159444311,25,sunny,90.907872637678,Good
21.94114012223301,12.327324335787294,46.1467566568842,47.37639464639763,602.1550675200806,225.48279541494855,979.592936783476,3.089463802978286,16,sunny,144.17037107577917,Good
20.580169612468904,17.450458244627484,44.41446453962846,50.15634516493528,0.0,1200.0,770.0687636703803,3.5767462889587938,7,sunny,42.15573011303067,Good
25.08070189790076,16.0490249381227,39.06962269158344,25.334940007802828,234.55322359419517,726.5549866360185,741.3067896091005,3.756174146500249,4,sunny,117.6695720354481,Good
21.870628345119258,25.815924815739,68.02621186908986,70.16833056855931,426.6099498926282,539.7998708259958,820.7994230997402,5.642495157601397,17,cloudy,94.99427221509184,Acceptable
27.283059747222044,19.451337736768625,59.89141586547979,62.1954699951674,464.7411538593491,367.4669905656012,834.6485416097534,2.998056156443168,16,cloudy,138.19614824993008,Acceptable
19.110294059948753,16.12333240291312,63.62095511484093,69.57281178118598,707.0388781502785,141.14760329154274,854.0591223609708,7.2537618208789265,24,stormy,102.5976690576414,Poor
24.41678260889726,4.564321648811097,53.89271778051065,48.68135278528575,,243.07134827653397,786.8053091275681,1.524107932020062,25,rainy,465.52523505745046,Poor
23.937240406373743,19.300503614122427,55.169556938873285,59.021517329367555,181.5723986773768,641.5046161800424,738.6083976481962,2.761680298494492,29,cloudy,110.61676451733484,Acceptable
21.69659956372518,4.1893352009519855,77.99085423350051,94.82007163100178,718.6778614486155,226.14281300691704,512.1293743868155,4.129780225586968,6,stormy,393.77403420267217,Poor
22.03289983487071,24.457575965313563,41.22503481925516,38.20397634243536,87.53147611641721,865.9627915035526,1171.994231172822,4.549475719698238,18,sunny,81.02031504744866,Acceptable
23.12107638418228,24.933783947981112,42.477947009966115,31.90019326359517,0.0,1200.0,1287.0345093318765,5.962417700741209,28,sunny,46.76032424921824,Acceptable
19.33828374146121,19.86082013811843,56.58173478507681,62.12864007690895,416.47397796074233,360.7621837916599,1060.6896400312244,3.772547443673553,1,cloudy,57.121513826372315,Acceptable
22.778870179322116,38.34514948685121,29.605215009655996,23.88184756139513,21.5338316916708,841.7985201884032,887.1373126142674,,7,sunny,226.59091237928487,Acceptable
20.624682947500258,26.22183131380452,26.61208087714309,14.515257081235228,203.7703839399617,603.732818960326,727.0116661497726,2.2917372987431746,24,sunny,97.7891937149757,Acceptable
24.825855352728343,24.76659340026963,52.9804772792081,49.166954009786515,260.9891884973722,602.0941165515188,1014.1742372894976,3.0050725673990013,4,cloudy,72.4462949210054,Acceptable
20.070574666468534,21.13849082439475,37.87121424709783,45.487429798411895,642.0816482750552,422.5661353667951,1013.81429341113,3.2591271094612435,5,cloudy,77.41514370790763,Acceptable
21.72460296389513,16.457935387693862,55.42677410284247,61.68726471013278,479.3986411329474,318.3057419470468,768.0716800045557,5.595413687304265,24,rainy,126.21458559746222,Acceptable
20.087391472937036,27.727346085249856,42.68292001827949,47.57409375511948,348.3821988112211,663.5213148880321,933.239972163363,4.393108113905738,8,cloudy,112.75655274665792,Acceptable
30.08587187428641,28.81159633339804,52.176799073665016,60.832922646306734,654.3727480884113,121.65560610322323,1065.79535058269,0.0,6,cloudy,77.01255315063842,Poor
18.28036238898346,9.590717107726544,53.90671804984815,52.535952789185465,288.8022209658106,727.5293362503321,987.7809415865386,5.012336615967616,19,cloudy,126.80347017048936,Poor
20.37431410093828,30.43591683825724,33.296675256789044,38.86868212904496,86.98829374306919,794.04278467943,876.7568733468843,1.7180583027361669,27,sunny,140.34629320461218,Acceptable
26.740830120238257,26.110585608217416,43.73814020864839,40.98967309357707,466.1452057342413,637.9548703119049,946.034684120093,1.624358777193748,14,sunny,86.82436413140078,Good
20.90588871020515,29.68560058167147,60.91423754304206,57.33052745344504,636.0797917553673,246.88677519039712,838.0307939664236,4.588267722484064,8,sunny,132.23808518047258,Good
22.488587113625453,23.729430245974193,68.53505150035794,70.23935421328903,469.1683851920663,374.55871151056755,930.578759554508,2.5630113967378767,11,cloudy,,Good
18.545719325761244,12.045842216241,59.35671312935432,61.42662475589192,772.4849143854965,152.88440214699207,960.175096742557,0.4077887896991865,3,sunny,108.3951429426887,Acceptable
19.813663973513513,12.616668393339474,54.04764728145366,58.32363332873376,88.10110042442233,737.983914128514,805.669862577908,0.4753368376429319,7,sunny,97.18393513140008,Good
26.36233877612164,36.5967242331596,30.100676348096044,10.0,228.27293667755464,674.7472401498073,895.401408784497,2.550431696706515,19,sunny,163.81627546715444,Acceptable
17.994152685422712,20.019390949176373,47.279170734375626,50.84210637556438,554.4960986199076,387.8236023260772,1134.1711460230215,5.325205211505876,7,rainy,73.80802294524969,Poor
17.725234926431458,10.661956046729063,35.48100988860459,43.15465315763285,524.4931132044369,636.3905613572103,1170.1077198020853,4.715698960942182,1,sunny,103.8408608815483,Acceptable
22.53102408829492,24.78505600086486,54.75554565638322,50.963524556580246,40.27583891855592,979.590615251931,535.2147019621586,2.208203678701272,17,sunny,74.95873626251148,Good
21.559059123507275,15.10301117380732,48.71757515974551,41.617128832624,764.4496790451115,334.2271777440699,714.9512939965415,3.2618870539249523,4,rainy,106.88071564371346,Acceptable
